full_name,class,section,marks_english,marks_maths,marks_physics
Briana Lintill,1,1,1,79,49
Hart Dimitrescu,9,3,49,67,65
Gallard Edgson,3,3,58,3,66
Harman Colmore,4,1,44,52,64
Cilka Loader,3,1,34,4,75
Barbe Gillham,5,1,66,98,77
Nari Sturley,10,1,88,87,93
Nikkie Bruntjen,9,3,71,31,88
Joya Chatband,9,2,62,44,45
Babb Maha,7,1,97,55,10
Chic Trenouth,11,1,35,28,54
Dotti Wasselin,7,1,87,51,63
Emmet Ryves,3,2,49,46,43
Thedric Coatts,5,1,37,83,30
Glenine Civitillo,2,3,38,36,27
Rudd Skocroft,8,3,66,99,30
Anissa Oughtright,2,3,1,8,40
Anjela Pepper,6,1,81,86,91
Jayme Twinterman,1,1,3,56,63
Joeann Aikin,5,3,96,25,97
Kenyon Wise,3,3,52,90,83
Averil Sweetmore,6,2,89,72,7
Lazare Yielding,1,2,96,77,39
Hunfredo Maskall,6,3,83,54,86
Jasun Grandisson,9,1,63,19,27
Arlette Perham,4,3,86,92,89
Tyrus Kerslake,6,1,20,1,58
Giulietta Meldrum,7,2,23,71,8
Jean Feaster,8,2,56,42,46
Garv Dinneges,11,2,90,11,40
Adelice Carillo,4,3,13,41,42
Faina Husher,8,3,73,63,96
Darrick Keavy,2,3,72,37,23
Abigael Rydzynski,6,2,97,9,100
Maryjane Dennis,11,1,19,66,81
Verine Jochanany,8,1,67,99,38
Nil Lante,4,1,26,2,92
Gerhardine Oxtarby,2,1,1,5,47
Demetria Westhofer,12,2,57,34,10
Germain Ding,12,1,90,66,41
Aundrea Rintoul,10,1,33,24,33
Nealson Dumphry,7,3,34,91,37
Joan Silverston,9,2,39,12,82
Pat Quilty,8,2,38,78,49
Evie Towle,7,1,7,86,95
Lisette Lennard,1,2,65,5,36
Asia Coley,1,1,81,50,23
Linnie Franschini,11,3,88,6,55
Lucia Teggin,10,1,39,43,85
Holly-anne Tavner,1,2,2,41,91
Oliver Doy,2,2,84,43,11
Way Rollett,8,2,18,59,10
Peder Filisov,10,2,41,90,26
Lionello Plampeyn,10,2,50,100,76
Celie Reeday,5,3,26,96,56
Garner Doppler,7,2,27,38,88
Evin Skalls,10,3,69,62,51
Harriette Woolvett,4,1,79,7,60
Dur Astlatt,10,3,80,36,80
Scarlett Trewinnard,8,1,89,33,82
Nance Lugard,12,2,6,87,5
Klarrisa Segges,2,2,10,79,18
Alistair Readwing,5,1,39,65,4
Angelika Wait,11,3,52,79,95
Cathrine Della,12,3,22,22,39
Pernell Waight,5,2,28,30,67
Sammy Toye,6,3,52,70,66
Queenie McKennan,7,1,49,42,1
Jobina Abraham,4,1,10,95,10
Dallas Keppy,6,3,33,29,25
Kahlil Francombe,10,2,76,15,16
Gizela Godlonton,3,3,99,87,29
Gwenore Dewerson,3,1,66,92,44
Reid Robison,9,1,33,38,7
Burty Grant,4,3,55,57,14
Onofredo Jeans,7,1,76,57,38
Joy Haxby,3,1,22,62,72
Kerrie Mileham,12,3,47,27,97
Missie Robbs,10,1,81,76,60
Jodie Lally,1,1,47,55,72
Lindy Heath,9,3,38,59,6
Korella Frosdick,4,1,39,93,76
Gottfried Poff,2,3,62,61,93
Leon Garatty,11,3,19,19,61
Corinna Featherstonhaugh,12,1,69,30,56
Lyon Jerschke,10,2,65,18,85
Kelley Dobrovolski,9,1,12,17,34
Tobias Flanagan,4,3,50,4,1
Roberta Marguerite,12,2,78,65,59
Margie Euler,5,2,29,53,58
Esme Scuffham,7,1,20,67,80
Bernie MacAlister,1,2,62,19,33
Hurlee Tayt,5,2,78,70,26
Kathe Carlozzi,6,3,4,92,81
Riley O'Cullen,10,1,41,58,41
Constantia Berzin,7,3,40,85,45
Merrielle Steffan,10,2,75,64,32
Darrelle Iveagh,3,1,85,100,49
Lauren Flament,1,1,47,3,84
Bale Gilliland,6,1,50,64,4
Lev Scroxton,12,3,32,63,39
Danell Jenman,8,3,2,78,68
Misty Sadry,6,1,11,8,46
Lucia Bridywater,11,1,93,25,92
Taryn MacComiskey,11,3,43,62,30
Roch Bendon,8,1,22,4,25
Marianna Halladey,10,1,57,86,3
Ivar Loffhead,6,3,44,23,55
Vincenty Pinsent,10,2,43,79,8
Thadeus Unitt,5,1,82,75,23
Willabella Lowater,3,2,62,54,21
Cassandra Fippe,10,3,6,53,74
Tracey Connochie,7,3,27,1,63
Osbert Cockings,6,3,45,8,32
Sonni Le Monnier,12,2,15,30,93
Harriette Broadberrie,1,1,93,4,15
Agatha Sirr,11,1,91,85,44
Angel Oddey,10,3,61,63,93
Helen-elizabeth Wadley,12,3,13,97,98
Chrysa Paish,4,3,38,60,67
Cacilie Klimov,3,1,81,64,73
Rubina Fadden,11,2,29,96,18
Alick Morgon,10,1,73,28,15
Jard Lehrian,6,1,32,9,55
Corette MacTurlough,3,2,1,26,79
Erny Olver,6,3,100,98,2
Roxi Siggery,12,2,68,44,85
Dorree Simkin,3,2,22,64,49
Juli Chapple,5,2,98,66,71
Temple Canada,2,2,67,95,29
Barclay Sickert,1,1,25,84,74
Meridith Fiddiman,10,1,98,2,16
Udell Fearnehough,8,1,58,62,63
Alphard Heed,2,3,29,47,30
Hart Florio,5,2,96,72,8
Lind Parkhouse,4,3,11,85,2
Matelda Kinker,1,3,2,20,77
Rubin McAless,8,1,10,38,1
Stefania Vasnetsov,7,3,75,16,97
Grazia Cholton,7,1,3,31,29
Brooke Fairlam,7,2,100,64,23
Bridgette Toma,5,2,8,80,26
Olia Burfoot,1,3,67,57,98
Wrennie Chong,4,3,38,4,73
Isadora Lydiard,10,2,14,97,14
Carlene Richardt,6,1,46,38,82
Tarra Oldershaw,7,3,50,62,42
Tony Fitzhenry,3,3,89,35,73
Berrie Kaplan,4,1,46,59,9
Enrika Delbergue,5,1,89,26,5
Toni Lovett,3,2,38,68,26
Thaine Skakunas,6,3,17,48,17
Bradan Bridgeland,7,1,54,94,83
Adrian Sliman,2,1,65,13,16
Karlyn Gooderick,8,3,28,11,17
Hazel Anderson,10,2,81,52,9
Robert Ellerton,12,3,31,69,1
Hetty Barkes,12,1,51,75,76
Orelle Hunnisett,3,2,55,29,92
Sherie Witz,1,2,83,62,53
Bea Whebell,2,3,99,59,2
Gwenette Johnston,9,1,26,11,31
Skell Jancik,4,2,64,63,71
Pembroke Vanichkov,2,3,93,17,18
Dulce Liver,5,1,97,48,95
Ruddie Lightwing,2,2,25,77,19
Bree Hawkridge,12,1,62,65,5
Rikki Petasch,8,3,72,28,47
Catriona Walework,9,3,91,56,100
Myrtie Jacobi,2,2,77,61,20
Daffy Turmel,2,1,32,93,59
Clea Balham,9,1,76,81,22
Joby Northey,5,1,49,72,46
Vivien Reeme,9,1,16,60,12
Tabby Lelievre,4,1,29,47,41
Yuma Chanson,10,1,41,9,46
Aili Pollak,9,2,8,85,23
Redd Paulig,2,2,85,24,70
Marcy Habbal,9,2,8,77,63
Warde Noden,11,3,94,66,35
Robb Quade,4,1,48,32,24
Nicola Leades,4,2,16,30,30
Devlin McAreavey,4,2,6,46,72
Portia Whinney,3,1,87,50,61
Barrett Christal,12,3,32,87,76
Jeno Pike,9,2,71,42,58
Winny Brittin,6,2,48,25,65
Enrica Parmer,2,1,76,83,60
Cate Parkman,8,3,78,28,85
Johann Fearey,9,2,60,48,38
Cherlyn Kembley,9,2,61,39,32
Katherine Brimming,2,1,86,79,10
Sharleen Rogliero,3,3,38,100,37
Elmer Leyland,10,3,9,64,89
Tallulah Camies,6,1,45,74,59
Brod Treadgold,7,1,17,7,93
Tibold Dreher,6,1,46,29,99
Clarinda Endley,9,2,2,3,76
Bonni Camell,9,3,68,21,42
Lincoln Ector,8,2,74,58,32
Collette Goude,4,3,43,42,42
Kenn Symmons,8,3,34,51,23
Wash Clemetts,5,1,66,12,23
Sonny Kubanek,4,3,10,73,55
Haleigh Abbets,1,3,93,6,95
Abbie Hampson,10,2,83,79,52
Norry Avrahamov,8,1,52,88,64
Alyosha Mathew,4,1,72,59,39
Gabriela Matejka,5,3,17,82,64
Rozele Stovine,3,3,100,29,74
Cesaro Fullstone,7,3,92,91,46
Fiona Ledwith,12,1,61,7,90
Dugald Adin,9,3,60,23,80
Welsh Thies,8,1,7,28,56
Parsifal Bewshire,12,3,2,30,63
Sherlock Goadby,5,2,22,12,19
Sybila Innott,6,1,92,54,76
Stanislaus Cawsy,1,1,99,39,21
Caprice Holbarrow,7,3,97,28,13
Torey Dinsmore,10,2,96,55,52
Binky Boram,1,2,13,60,55
Klaus Lowles,5,3,29,63,23
Jonis Siviter,8,3,2,12,19
Morgan Younger,3,1,92,47,78
Mel Toplin,5,3,95,65,42
Pauly Cowland,5,1,83,67,73
Carma Chafer,12,1,58,52,98
Pancho Belfelt,12,3,18,33,30
Stefan Tompion,3,3,82,98,82
Cristi Bigland,9,2,79,51,52
Samantha Lauga,7,1,100,48,13
Irita Lochrie,4,2,47,68,64
Yolande Forge,8,2,88,14,11
Tallou Lieber,7,3,11,100,75
Torry Malpas,6,1,68,44,8
Niel Burr,11,2,73,10,81
Lawton McIlwrath,5,2,14,26,63
Keslie Cramphorn,3,2,54,53,2
Udale Habens,11,3,27,4,1
Flore Wilmut,12,1,63,77,27
Salli Phelps,9,3,51,59,61
Fern Burg,9,3,34,59,94
Alphard Ellick,2,1,2,18,51
Colet Spoward,12,2,36,86,73
Valina Anyon,2,2,28,14,20
Tuck Turban,8,2,67,40,93
Torrie Oager,6,1,10,53,1
Packston Battison,9,2,66,78,80
Lois Samways,5,2,75,35,44
Anderson Danels,3,2,51,73,91
Emlynn Bidmead,3,3,51,84,1
Daisey Heffer,10,3,23,54,46
Nert Keddy,6,3,88,66,28
Devlen Kitchinham,11,1,68,50,60
Garold Spier,4,2,26,7,5
Huntlee Pellingar,4,1,20,54,9
Doralia Piquard,2,1,47,49,61
Allina Bohey,6,3,3,90,3
Becka Kennelly,7,2,5,81,47
Orville Ehlerding,9,3,65,94,46
Flint Ballay,6,3,85,98,62
Wyndham Armin,5,1,42,40,74
Luz Mechan,6,2,90,52,73
Caitlin Gumey,8,2,96,9,59
Rosalia Wolfenden,3,3,25,87,21
Andriana Swaden,5,2,22,94,84
Elladine Yuryichev,3,3,53,43,96
Whitaker MacVanamy,9,2,45,55,70
Rickard Plumbley,7,2,100,20,73
Linda Barthot,5,3,36,2,77
Sibeal Mattiazzo,12,3,80,19,43
Raynard Cantu,1,1,74,47,23
Tillie Duffell,8,2,38,95,9
Greta Dickins,10,1,100,77,51
Nissa Urey,10,1,26,47,7
Brok Crippell,1,3,55,98,7
Brandais Hartlebury,9,3,24,42,94
Beverlie Pursey,11,1,92,94,21
Prescott Sproul,4,2,79,57,71
Lyn Balbeck,10,2,62,97,52
Mycah Crathorne,10,2,81,85,62
Carrol Keasy,3,2,68,97,36
Lorinda Olohan,11,1,17,75,83
Bill Domonkos,2,2,32,32,63
Worden Cristea,6,2,96,53,83
Burt Cordelle,7,2,21,90,19
Kristin Girdlestone,10,3,14,97,30
Lin Inchbald,5,2,65,7,30
Mack Noor,1,2,16,59,50
Caroljean Burfoot,10,2,12,63,96
Annnora Wethers,6,3,7,63,58
Sharity Genthner,12,2,65,61,44
Tabbie Nevinson,4,2,37,86,81
Zulema Creer,10,2,36,6,68
Taffy Greystoke,8,2,45,87,43
Gaston Wreford,2,3,60,26,84
Jarrod Bloys,2,2,48,78,75
Tracy Mc Caughen,1,3,26,46,63
Alvin Smickle,1,3,68,13,49
Natala Goldes,8,2,7,26,53
Lucia Pheby,12,2,49,52,7
Ammamaria Rapi,6,1,18,23,9
Dyane Habden,7,2,9,13,42
Glennis Lishman,3,3,66,50,35
Ethelin Sherburn,10,3,63,30,43
Tabbi Cordeux,2,1,29,66,44
Shawn Kintzel,1,1,47,72,59
Howard McAuslan,12,1,63,80,39
Fern Burmingham,10,1,83,51,88
Baldwin Barenskie,4,1,71,75,83
Barbara-anne Eyre,9,3,30,60,45
Jarib Collimore,5,2,85,1,12
Terri-jo Luparto,5,1,25,82,89
Ernestine Duffield,10,1,84,54,30
Ingeberg Darque,2,1,95,36,90
Hill Ridwood,12,1,63,21,4
Adriana Bernadon,7,2,90,66,83
Rory Foote,7,3,31,1,45
Violetta Mant,2,2,37,2,93
Raffaello Coltart,8,1,82,52,73
Lorinda Slocom,3,1,70,44,52
Rona Semiras,5,3,42,52,56
Doloritas Weld,1,1,32,37,29
Hetty Grenville,12,3,90,25,7
Wallis Grimwad,7,1,93,91,17
Orson Fallow,10,3,92,61,93
Paulette Purdy,3,1,82,34,37
Stefa Klaiser,11,2,91,2,78
Quint Larmouth,1,3,97,60,84
Rea Clapison,10,3,4,94,46
Gustavo Mallard,8,2,46,39,33
Charil Shortcliffe,8,2,37,82,11
Donetta Berisford,5,2,66,41,27
Hugo Baskerville,12,2,79,79,94
Sawyere Stiegars,1,3,72,26,12
Elwira Meins,9,3,6,86,93
Davidde Bousfield,9,1,60,69,93
Fredra Nadin,6,1,70,82,75
Ardelia Lodemann,7,2,37,12,38
Florri Jordeson,10,2,94,33,60
Jeffie Gianettini,12,2,26,4,59
Randolf Jacqueminot,3,3,15,98,67
Kylie Gareisr,8,3,18,59,53
Thomas Ensor,12,1,70,83,7
Berke Dominec,4,2,96,32,14
Davon Mollitt,1,1,50,90,47
Den Tuminini,3,2,87,72,77
Stewart Payfoot,9,1,49,95,69
Tana Courtman,1,2,53,72,93
Amelia Scroyton,8,3,30,65,56
Gustave Northedge,10,3,77,28,42
Sansone Garritley,7,2,28,61,5
Darryl Macilhench,4,1,23,88,75
Riobard Belison,4,2,42,91,26
Jacqui Shillaber,7,3,25,58,65
Pat Worrill,4,2,50,5,30
Priscella Elham,4,2,98,19,2
Eleanora Duggan,1,2,42,24,1
Juan Seiler,2,1,9,31,14
Willy Bowerbank,7,1,49,15,32
Aurthur Spybey,11,2,97,77,53
Dorita Ahrend,4,1,57,35,87
Pat Mountlow,9,1,98,81,66
Pavel Scotchbrook,3,1,100,7,95
Idell Ogelsby,3,3,75,58,66
Nikki Spadollini,8,1,5,24,1
Garfield Presman,8,3,3,81,73
Dennet Kirk,8,3,76,27,55
Babs Semorad,3,2,69,81,7
Kent Bricket,4,1,33,48,66
Lorrayne Ussher,7,1,55,50,39
Standford Allchin,8,2,72,87,24
Etta Clarage,3,3,11,47,4
Farr Eggle,11,3,95,96,55
Daryl Mountney,10,1,1,56,38
Francis Gosden,10,2,62,47,99
Maurise Idale,3,3,3,60,95
Grenville Kellar,8,1,88,91,2
Binny Rosi,10,1,4,45,83
Abelard Goldster,11,3,9,23,30
Darda Froggatt,1,1,76,8,72
Louisette Lilliman,1,1,26,3,75
Cristionna Paynton,3,3,36,85,50
Marna Retchless,9,2,65,2,49
Selie Shooter,1,3,14,98,77
Barnie Tench,1,3,31,21,22
Arney Tearney,10,2,79,13,28
Kial Dagnan,8,2,93,67,70
Ree Peyro,6,1,14,72,79
Karena Feary,2,3,76,26,24
Janel Sprowell,7,2,58,97,10
Ginevra McArdle,10,3,74,36,100
Floris Forsythe,5,3,9,82,77
Jillayne Rupert,12,1,98,3,1
Dulcy Pexton,3,2,5,78,33
Merla Dalliwater,4,2,5,55,10
Maire Ellerey,5,1,78,48,46
Fancy Berrisford,8,2,81,67,43
Sigrid Mountney,7,1,33,21,70
West Lindro,2,2,41,45,3
Corrie Wharrier,1,2,91,86,1
King Baggaley,9,1,95,3,50
Patten Ranns,8,1,25,40,67
Marketa Gatecliff,12,2,51,17,39
Sheryl Foucard,6,3,62,82,25
Perceval De Beneditti,11,3,1,73,4
Olvan Tabb,2,1,18,83,27
Lonee Kerwick,1,1,56,68,37
Valery Lambertz,1,3,31,68,89
Liane Gadie,11,2,54,24,50
Cristobal Bambrough,9,2,37,26,76
Tilda Haylock,1,1,92,58,70
Hyacinthia Giamitti,7,1,3,83,68
Nan Bucky,5,2,23,33,27
Iris Benettini,9,1,39,64,96
Putnem Babcock,9,2,60,73,36
Salome Vosse,5,3,40,42,99
Genvieve Clemenceau,7,3,62,71,18
Dell Agutter,11,3,79,48,44
Larisa Stilliard,6,1,87,80,44
Paddy Francello,3,3,97,89,96
Nahum de Quesne,3,2,77,7,8
Evonne Gatecliffe,8,1,85,83,33
Lorri Nuth,6,3,7,68,66
Alejandro Desporte,1,1,96,92,99
Britt Pape,9,2,99,94,36
Arlyne Pringer,10,1,50,98,79
Dedra Le Frank,6,2,100,69,52
Gwyn Domnin,5,1,3,68,38
Erma Forrestill,10,1,77,16,66
Rebecca Stannion,1,2,32,9,91
Delora Ferreres,3,1,17,70,15
Yurik Hicks,7,2,66,52,85
Ronnie Gammel,4,3,85,67,61
Ethelyn Kenforth,3,1,89,34,49
Sherri Matveiko,6,2,17,29,22
Boris Strapp,3,2,93,19,1
Theressa Standbrooke,11,1,58,20,92
Sally Wollrauch,3,2,9,10,72
Darline Ashman,2,3,42,3,9
Kyle Metherell,9,3,81,26,79
Dick Vesque,7,2,44,93,66
Cull Guarnier,4,1,84,39,69
Agnese Nimmo,6,3,52,33,63
Nariko Yeates,12,2,16,86,64
Kaleena O'Calleran,8,1,36,94,47
Ike Klimaszewski,11,2,35,90,26
Toni Dowzell,5,2,59,52,71
Opal Summersett,6,2,59,48,69
Cris Penniall,6,2,74,85,3
Ruby Hawyes,1,1,9,12,87
Yorker Keningley,7,1,57,12,95
Faythe Brech,6,2,5,75,40
Staci Ledington,1,1,70,76,86
Elise Shelper,7,3,11,66,63
Willy Narup,6,2,1,41,35
Rube Lampett,6,3,61,25,40
Mead Cranefield,11,2,32,98,89
Jessalyn Duffet,5,1,28,59,65
Shermie Leverette,8,2,92,19,91
Maressa Panter,2,1,22,16,35
Karalee Pantecost,2,3,31,87,86
Gareth O'Kelly,3,3,55,63,80
Britteny Braban,9,1,14,80,80
Lilian Bevis,2,3,27,96,87
Benjy Bortolomei,3,1,31,17,22
Bondy Jestico,10,3,64,43,6
Deidre Robertis,4,2,96,91,50
Teddie Bridgland,12,1,45,21,77
Philippine Mankor,5,3,43,51,81
Heidi Tilling,12,1,21,28,73
Alan Surman,5,2,75,98,20
Eleonore Sends,9,2,17,88,60
Isak Calvard,3,3,78,89,85
Edsel Kinnerk,8,1,63,58,26
Carolyn Edgeler,10,1,69,11,26
Lorry Brocking,3,2,72,55,82
Ruthie Spiller,10,2,44,94,27
Axel Havvock,1,3,89,9,54
Birgit Bromehed,7,2,43,58,72
Lane Blaksley,6,2,55,15,75
Lamont Odell,7,3,76,65,73
Sileas Winckworth,1,2,95,54,21
Arin Raitie,1,3,63,86,57
Hamilton Landrean,10,2,9,8,24
Dorella Crooks,1,1,87,1,90
Nessa Redier,11,3,46,69,72
Sharon Impett,5,1,84,69,44
Nikolos Roote,10,2,54,8,33
Shepperd Aubry,4,2,57,83,92
Stanislas McRinn,12,3,40,18,33
Raymund Fant,12,1,36,15,56
Mellisa Koles,8,2,75,70,93
Calhoun Jolliff,9,3,37,58,31
Geri Bassham,11,2,64,67,71
Joy Josuweit,5,3,56,45,11
Karlis Trathan,11,3,39,74,86
Raimondo Dennington,9,1,96,16,3
Rea Howley,3,1,63,4,49
Evangelina Van Cassel,9,3,40,44,93
Dory Reiner,2,2,78,90,91
Quinn Saterthwait,3,2,20,10,81
Rodolph Spragg,6,3,5,4,73
Jessee O'Kane,12,2,57,41,73
Kelly Pheby,10,1,9,82,66
Hobart Scrace,4,1,98,51,65
Violette Shankster,1,1,95,73,34
Teodorico Measures,11,2,71,42,35
Rosalie Schultes,8,1,93,27,100
Alyda Dunphie,1,2,82,15,7
Christine Kolyagin,12,3,95,98,11
Lorna Killen,9,2,61,59,32
Eamon Tramel,8,3,81,44,84
Ray Viegas,10,2,42,15,62
Cyrill Fairy,1,3,100,96,35
Ofelia Vampouille,4,2,7,77,11
Greg Tongs,11,3,64,51,99
Brod Caldera,6,1,90,46,39
Alys Bodycombe,10,2,60,8,15
Kimbell Prinett,8,1,24,16,69
Ivy Mathon,12,2,29,4,23
Corny Jeremaes,3,1,13,81,45
Jaymie Brach,7,3,10,57,20
Ricky Cresswell,8,3,61,61,32
Leontyne Keymer,8,2,35,30,5
Tallou Moyes,10,3,74,13,29
Caryn Shemelt,8,2,24,5,48
Georgina Lorraine,3,2,54,84,87
Aila Teissier,11,1,16,19,42
Corbet Standring,5,1,80,82,86
Rhetta Rickard,6,1,82,22,64
Lindy Dysart,8,3,75,88,79
Neel Hurdle,8,2,71,21,22
Gary Tomaszynski,9,3,21,15,35
Phelia Sandeman,6,3,70,32,28
Klemens Hasser,6,2,94,15,45
Penrod Pincked,4,3,38,96,95
Koren Stanes,2,1,85,70,18
Loree Jatczak,4,3,40,19,100
Seumas Blinde,10,1,36,5,1
Dunc Doughill,8,1,45,73,11
Ronnie Kleeborn,6,2,97,38,90
Fina Phippin,2,2,2,32,25
Brodie Biles,4,1,13,32,20
Nari McMeekin,2,2,56,60,38
Wye Simonnet,8,2,20,77,80
Abigael Dominichetti,11,3,18,5,64
Courtnay Gjerde,12,2,79,78,65
Montgomery Cheer,1,3,49,1,86
Madella Chatainier,9,3,24,71,94
Amandie Ashington,10,3,93,22,33
Julianna Laverack,9,1,41,76,93
Pall Keeting,8,3,81,45,8
La verne Duferie,4,3,44,45,64
Sheila-kathryn Skotcher,1,3,23,64,62
Felita Yeowell,10,1,78,97,59
Arron Gever,9,3,7,38,56
Orel Tiffany,5,2,37,92,85
Frederich Addey,9,1,78,48,47
Alix Zorzutti,8,3,19,48,32
Vincents Spleving,3,1,4,78,45
Gabbi Odo,4,2,85,10,46
Leesa Coffey,5,1,44,38,81
Fianna Stapele,12,1,42,14,77
Cleon Adamkiewicz,4,2,10,82,24
Rhett Kopp,7,3,45,83,29
Kippy Benoiton,8,1,67,33,54
Glori Giral,7,2,68,49,12
Alejandrina Buckles,6,2,40,30,79
Andee Bernhard,12,3,43,61,23
Dorella Carlsen,3,2,100,39,36
Lucina Congreave,7,3,77,32,62
Farly Swynley,5,2,19,64,24
Britte Eilhermann,7,3,30,43,70
Whittaker Dunwoody,6,2,31,1,53
Rinaldo Pherps,12,2,53,11,42
Cyndia Surcomb,7,1,65,42,39
Edan Yabsley,11,2,43,11,24
Siouxie Heaffey,5,1,41,67,11
Smith Birdwhistell,6,3,59,38,22
Selinda Coales,5,3,21,57,80
Joelly Muscat,6,2,45,58,31
Toni O'Shaughnessy,4,3,58,61,3
Dinnie Primmer,3,2,15,97,54
Burke Ivermee,2,2,21,84,72
Leopold Klamp,4,2,76,81,63
Royall Hallgalley,9,2,54,35,65
Adelice Woloschinski,5,3,21,16,59
Antonie Domenico,12,1,71,56,87
Konrad Castelletto,11,3,48,19,46
Cullan Drowsfield,1,2,69,2,87
Evaleen Schimank,8,3,44,7,68
Trude Muglestone,11,2,98,68,62
Donella Frye,6,1,13,20,30
Dacey Rapps,4,3,72,62,82
Laney Moran,3,1,1,6,37
Barnard Ciciotti,8,1,16,49,20
Edgardo De Bernardi,6,2,91,56,44
Toiboid Arnaudon,11,3,74,14,57
Mufinella Girhard,3,3,96,26,73
Erwin Roja,10,2,76,71,69
Carlynne Braban,3,1,37,32,63
Honor McRobbie,1,1,90,23,28
Shayne Sawer,5,2,23,66,97
Korry Wimsett,2,1,18,41,31
Trix Piet,10,3,67,38,17
Antons Blackboro,1,3,31,67,72
Micky Grellis,2,1,72,86,63
Lennard Rucklidge,10,3,100,71,66
Riannon Baitey,1,1,58,77,45
Fredra Firmage,3,1,4,55,100
Golda Magnar,5,3,29,21,5
Drusie Demcak,11,3,92,46,76
Lucretia Jenoure,5,1,39,22,46
Hamlin Robecon,8,2,75,31,82
Marco Crabbe,1,2,52,93,62
Tansy Chessill,12,2,2,71,26
Devonne Fawckner,12,2,69,56,15
Estrella Raysdale,6,1,39,16,5
Royce Woller,11,2,19,43,86
Sybyl Nortcliffe,11,1,29,17,57
Ede Weildish,11,2,14,33,33
Walker Chavey,4,1,50,57,17
Libbey Baker,10,2,41,33,84
Selinda Abry,9,3,71,20,93
Lulita Mettricke,1,1,36,84,5
Ferris Longstreet,10,1,50,95,21
Rafferty Markos,5,2,6,94,36
Bale Lorroway,2,3,83,5,44
Ker Whiterod,9,2,36,47,9
Antonietta Diem,10,3,95,53,14
Malorie Arendt,1,3,57,20,35
Travus Gardener,2,3,44,31,73
Pia Kerley,8,1,43,11,4
Charleen Sukbhans,3,2,80,94,63
Pennie Gledhill,9,1,23,45,91
Shir Jest,3,3,100,10,7
Ross Blasi,4,3,43,96,78
Grazia Kleiser,12,3,67,65,22
Cordie Jakoub,5,1,38,93,31
Imojean Rowntree,10,2,97,66,40
Zuzana Badman,10,2,62,28,87
Ruddy Spatari,10,2,9,53,24
Hobie Newland,5,3,23,68,34
Philip Linsay,5,2,99,66,77
Jobey Pozzo,6,2,69,38,21
Aguistin Ley,7,1,84,34,75
Bernete Dict,4,2,72,6,22
Karrah Stackbridge,4,2,67,82,92
Delphinia Feek,4,2,77,81,90
Danni Markussen,5,3,16,66,36
Ruddie Ablitt,10,1,76,64,17
Maggie Widocks,6,2,6,87,97
Kelby Seide,8,1,39,45,39
Kizzie Linkie,10,1,1,89,86
Lib Duligall,7,2,5,27,39
Gerianne Meckiff,6,2,71,71,29
Powell Delgaty,4,2,78,28,4
Matty Valerio,5,2,21,1,88
Jessie Andrey,12,1,51,30,14
Micky Dinnis,4,2,34,1,64
Ddene Skipper,1,2,77,45,87
Madelina Greatrex,8,2,25,14,28
Port Sciacovelli,8,1,83,23,37
Elicia Sadat,7,1,17,25,25
Stefan Parsand,3,2,97,85,9
Clerissa Fountaine,12,1,96,18,87
Gavra Francino,6,2,90,89,14
Goldia Novik,5,1,94,55,62
Annabela Luscott,11,1,2,75,66
Olive Engel,9,2,80,99,84
Tatiania Pfaffe,7,2,76,100,13
Bernardo Thurlbeck,3,2,56,51,31
Thalia Silmon,1,1,71,17,36
Lorinda Kenningley,1,1,74,7,80
Bink Slinger,7,1,68,5,91
Lindie Punton,1,1,95,88,15
Alain Samett,4,1,28,90,74
Anna Nussen,11,3,51,95,23
Glynnis Yokelman,10,2,47,22,81
Adham Neubigging,8,2,87,42,82
Jule Kunisch,1,1,92,60,41
Otto Prophet,10,3,45,69,60
Gayelord Loddy,12,1,8,23,88
Darrelle Threlfall,11,1,19,35,66
Jonathon Pennycord,5,2,100,76,20
Reinaldo Wilmore,9,1,26,48,43
Sean Fiddeman,4,1,67,25,50
Marcy Wilsey,9,2,27,21,70
Derek Awty,7,3,45,50,35
Trixi Pentelow,9,2,54,94,15
Ursola Le Provost,11,2,66,16,86
Analiese Sinyard,10,2,77,93,26
Hewett Rivelin,2,2,88,63,93
Jenda Collinson,10,2,61,29,53
Evan Olivelli,12,3,80,35,19
Gayle Stoddard,11,2,90,15,45
Alina Hubbocks,6,3,5,67,74
Blanch Jiracek,9,1,75,7,11
Tamiko Cawthorn,8,2,37,66,100
Ad Rosendorf,7,2,99,16,4
Nonie Castelli,10,2,14,70,90
Jannel Armour,1,2,48,37,77
Felisha Goundrill,2,2,49,21,78
Carleton Wagerfield,3,1,8,42,88
Avis Rassell,4,3,14,91,27
Dennet Sansom,10,2,96,20,71
Kessia Brastead,7,3,20,6,53
Zola Lukehurst,12,3,26,48,10
Ardys Radbourne,12,3,28,34,76
Kristine Orviss,8,1,44,99,12
Adeline Mansford,2,2,39,11,70
Ber Rapp,4,3,12,20,22
Devland Sobtka,8,2,58,43,7
Earle Fellona,5,1,39,65,28
Daune Onslow,11,3,68,96,56
Almeta MacKellen,8,1,66,96,21
Carry Stickels,4,1,47,10,87
Catriona Hawksworth,10,2,49,93,11
Jaye Camelia,7,3,17,25,22
Claude Deere,10,3,33,43,33
Vilhelmina Signori,2,1,91,93,61
Franni Pascoe,6,1,45,46,55
Salim Stoffler,11,3,99,25,32
Dallis Wooler,11,3,32,62,68
